date,region,flat_price
2003-05-01,Outer London,161459.0
2003-05-01,London,196358.0
2003-05-01,South East,117124.0
2003-06-01,Outer London,163125.0
2003-06-01,Inner London,229332.0
2003-06-01,South East,121026.0
2003-06-01,London,195692.0
2003-07-01,Inner London,230611.0
2003-07-01,Outer London,164423.0
2003-07-01,London,199256.0
2003-07-01,South East,119173.0
2003-08-01,Outer London,165082.0
2003-08-01,Inner London,230976.0
2003-08-01,London,197974.0
2003-08-01,South East,120203.0
2003-09-01,Outer London,165134.0
2003-09-01,Inner London,232232.0
2003-09-01,London,197488.0
2003-09-01,South East,119099.0
2003-10-01,Inner London,231128.0
2003-10-01,Outer London,166073.0
2003-10-01,South East,121450.0
2003-10-01,London,199369.0
2003-11-01,Inner London,232160.0
2003-11-01,Outer London,166805.0
2003-11-01,South East,121860.0
2003-11-01,London,200613.0
2003-12-01,Inner London,234686.0
2003-12-01,Outer London,168279.0
2003-12-01,London,203409.0
2003-12-01,South East,123975.0
2004-01-01,Outer London,168997.0
2004-01-01,Inner London,237024.0
2004-01-01,London,203752.0
2004-01-01,South East,123098.0
2004-02-01,Inner London,237940.0
2004-02-01,Outer London,170230.0
2004-02-01,South East,124574.0
2004-02-01,London,203962.0
2004-03-01,Outer London,171053.0
2004-03-01,Inner London,239332.0
2004-03-01,London,206693.0
2004-03-01,South East,126027.0
2004-04-01,Inner London,241474.0
2004-04-01,Outer London,172928.0
2004-04-01,South East,126554.0
2004-04-01,London,209844.0
2004-05-01,Outer London,175310.0
2004-05-01,Inner London,244564.0
2004-05-01,London,212191.0
2004-05-01,South East,130378.0
2004-06-01,Outer London,178095.0
2004-06-01,Inner London,247625.0
2004-06-01,London,215579.0
2004-06-01,South East,132530.0
2004-07-01,Outer London,179477.0
2004-07-01,Inner London,251390.0
2004-07-01,South East,131542.0
2004-07-01,London,217245.0
2004-08-01,Outer London,180848.0
2004-08-01,Inner London,254227.0
2004-08-01,South East,135341.0
2004-08-01,London,218345.0
2004-09-01,Outer London,180978.0
2004-09-01,Inner London,255497.0
2004-09-01,London,217501.0
2004-09-01,South East,134871.0
2004-10-01,Inner London,253147.0
2004-10-01,Outer London,181864.0
2004-10-01,London,215629.0
2004-10-01,South East,135437.0
2004-11-01,Inner London,253085.0
2004-11-01,Outer London,182215.0
2004-11-01,South East,136951.0
2004-11-01,London,218866.0
2004-12-01,Outer London,182240.0
2004-12-01,Inner London,250740.0
2004-12-01,South East,137339.0
2004-12-01,London,214397.0
2005-01-01,Inner London,251403.0
2005-01-01,Outer London,181980.0
2005-01-01,South East,134098.0
2005-01-01,London,216077.0
2005-02-01,Inner London,250638.0
2005-02-01,Outer London,180418.0
2005-02-01,South East,134901.0
2005-02-01,London,215219.0
2005-03-01,Inner London,251917.0
2005-03-01,Outer London,179852.0
2005-03-01,South East,134985.0
2005-03-01,London,215180.0
2005-04-01,Inner London,254454.0
2005-04-01,Outer London,179526.0
2005-04-01,South East,135531.0
2005-04-01,London,219004.0
2005-05-01,Inner London,255356.0
2005-05-01,Outer London,181224.0
2005-05-01,South East,137056.0
2005-05-01,London,219295.0
2005-06-01,Outer London,182385.0
2005-06-01,Inner London,256653.0
2005-06-01,South East,136910.0
2005-06-01,London,218902.0
2005-07-01,Inner London,257275.0
2005-07-01,Outer London,182924.0
2005-07-01,London,220760.0
2005-07-01,South East,136200.0
2005-08-01,Outer London,182404.0
2005-08-01,Inner London,259539.0
2005-08-01,South East,137304.0
2005-08-01,London,221515.0
2005-09-01,Inner London,259689.0
2005-09-01,Outer London,182327.0
2005-09-01,London,218981.0
2005-09-01,South East,137157.0
2005-10-01,Outer London,182147.0
2005-10-01,Inner London,257343.0
2005-10-01,South East,136687.0
2005-10-01,London,217250.0
2005-11-01,Outer London,182226.0
2005-11-01,Inner London,255777.0
2005-11-01,South East,137469.0
2005-11-01,London,219518.0
2005-12-01,Inner London,258489.0
2005-12-01,Outer London,182731.0
2005-12-01,London,223534.0
2005-12-01,South East,139572.0
