75.6,Jul-02,Jul-02,K02000001,United Kingdom,CP00,Overall Index
75.8,Jun-02,Jun-02,K02000001,United Kingdom,CP00,Overall Index
75.8,May-02,May-02,K02000001,United Kingdom,CP00,Overall Index
75.6,Apr-02,Apr-02,K02000001,United Kingdom,CP00,Overall Index
75.2,Mar-02,Mar-02,K02000001,United Kingdom,CP00,Overall Index
75,Feb-02,Feb-02,K02000001,United Kingdom,CP00,Overall Index
74.8,Jan-02,Jan-02,K02000001,United Kingdom,CP00,Overall Index
75,Dec-01,Dec-01,K02000001,United Kingdom,CP00,Overall Index
74.9,Nov-01,Nov-01,K02000001,United Kingdom,CP00,Overall Index
74.9,Oct-01,Oct-01,K02000001,United Kingdom,CP00,Overall Index
75,Sep-01,Sep-01,K02000001,United Kingdom,CP00,Overall Index
74.8,Aug-01,Aug-01,K02000001,United Kingdom,CP00,Overall Index
74.5,Jul-01,Jul-01,K02000001,United Kingdom,CP00,Overall Index
75,Jun-01,Jun-01,K02000001,United Kingdom,CP00,Overall Index
74.9,May-01,May-01,K02000001,United Kingdom,CP00,Overall Index
74.4,Apr-01,Apr-01,K02000001,United Kingdom,CP00,Overall Index
73.9,Mar-01,Mar-01,K02000001,United Kingdom,CP00,Overall Index
73.7,Feb-01,Feb-01,K02000001,United Kingdom,CP00,Overall Index
73.5,Jan-01,Jan-01,K02000001,United Kingdom,CP00,Overall Index
74,Dec-00,Dec-00,K02000001,United Kingdom,CP00,Overall Index
74,Nov-00,Nov-00,K02000001,United Kingdom,CP00,Overall Index
73.8,Oct-00,Oct-00,K02000001,United Kingdom,CP00,Overall Index
73.8,Sep-00,Sep-00,K02000001,United Kingdom,CP00,Overall Index
73.3,Aug-00,Aug-00,K02000001,United Kingdom,CP00,Overall Index
73.3,Jul-00,Jul-00,K02000001,United Kingdom,CP00,Overall Index
73.6,Jun-00,Jun-00,K02000001,United Kingdom,CP00,Overall Index
73.5,May-00,May-00,K02000001,United Kingdom,CP00,Overall Index
73.3,Apr-00,Apr-00,K02000001,United Kingdom,CP00,Overall Index
73,Mar-00,Mar-00,K02000001,United Kingdom,CP00,Overall Index
