observation_date,HVMRUKM
1972-05-01,8.00
1972-06-01,8.00
1972-07-01,8.00
1972-08-01,8.00
1972-09-01,8.50
1972-10-01,8.50
1972-11-01,8.50
1972-12-01,8.50
1973-01-01,8.50
1973-02-01,8.50
1973-03-01,9.50
1973-04-01,9.50
1973-05-01,9.50
1973-06-01,9.50
1973-07-01,9.50
1973-08-01,10.00
1973-09-01,11.00
1973-10-01,11.00
1973-11-01,11.00
1973-12-01,11.00
1974-01-01,11.00
1974-02-01,11.00
1974-03-01,11.00
1974-04-01,11.00
1974-05-01,11.00
1974-06-01,11.00
1974-07-01,11.00
1974-08-01,11.00
1974-09-01,11.00
1974-10-01,11.00
1974-11-01,11.00
1974-12-01,11.00
1975-01-01,11.00
1975-02-01,11.00
1975-03-01,11.00
1975-04-01,11.00
1975-05-01,11.00
1975-06-01,11.00
1975-07-01,11.00
1975-08-01,11.00
1975-09-01,11.00
1975-10-01,11.00
1975-11-01,11.00
1975-12-01,11.00
1976-01-01,11.00
1976-02-01,11.00
1976-03-01,11.00
1976-04-01,10.50
1976-05-01,10.50
1976-06-01,10.50
1976-07-01,10.50
1976-08-01,10.50
1976-09-01,10.50
1976-10-01,12.25
1976-11-01,12.25
1976-12-01,12.25
1977-01-01,12.25
1977-02-01,12.25
1977-03-01,12.25
1977-04-01,11.25
1977-05-01,11.25
1977-06-01,10.50
1977-07-01,10.50
1977-08-01,10.50
1977-09-01,9.50
1977-10-01,9.50
1977-11-01,9.50
1977-12-01,9.50
1978-01-01,8.50
1978-02-01,8.50
1978-03-01,8.50
1978-04-01,8.50
1978-05-01,8.50
1978-06-01,9.75
1978-07-01,9.75
1978-08-01,9.75
1978-09-01,9.75
1978-10-01,9.75
1978-11-01,11.75
1978-12-01,11.75
1979-01-01,11.75
1979-02-01,11.75
1979-03-01,11.75
1979-04-01,11.75
1979-05-01,11.75
1979-06-01,11.75
1979-07-01,11.75
1979-08-01,11.75
1979-09-01,11.75
1979-10-01,11.75
1979-11-01,15.00
1979-12-01,15.00
1980-01-01,15.00
1980-02-01,15.00
1980-03-01,15.00
1980-04-01,15.00
1980-05-01,15.00
1980-06-01,15.00
1980-07-01,15.00
1980-08-01,15.00
1980-09-01,15.00
1980-10-01,15.00
1980-11-01,15.00
1980-12-01,14.00
1981-01-01,14.00
1981-02-01,14.00
1981-03-01,13.00
1981-04-01,13.00
1981-05-01,13.00
1981-06-01,13.00
1981-07-01,13.00
1981-08-01,13.00
1981-09-01,13.00
1981-10-01,15.00
1981-11-01,15.00
1981-12-01,15.00
1982-01-01,15.00
1982-02-01,15.00
1982-03-01,13.50
1982-04-01,13.50
1982-05-01,13.50
1982-06-01,13.50
1982-07-01,13.50
1982-08-01,12.03
1982-09-01,12.04
1982-10-01,12.04
1982-11-01,10.09
1982-12-01,10.05
1983-01-01,10.05
1983-02-01,10.05
1983-03-01,10.05
1983-04-01,10.05
1983-05-01,10.05
1983-06-01,11.10
1983-07-01,11.21
1983-08-01,11.21
1983-09-01,11.21
1983-10-01,11.21
1983-11-01,11.21
1983-12-01,11.21
1984-01-01,11.23
1984-02-01,11.24
1984-03-01,11.24
1984-04-01,10.47
1984-05-01,10.36
1984-06-01,10.36
1984-07-01,10.60
1984-08-01,12.81
1984-09-01,12.82
1984-10-01,12.85
1984-11-01,12.78
1984-12-01,11.90
1985-01-01,11.93
1985-02-01,12.96
1985-03-01,12.99
1985-04-01,13.85
1985-05-01,13.85
1985-06-01,13.87
1985-07-01,13.88
1985-08-01,13.88
1985-09-01,12.89
1985-10-01,12.82
1985-11-01,12.79
1985-12-01,12.79
1986-01-01,12.79
1986-02-01,12.79
1986-03-01,12.72
1986-04-01,12.06
1986-05-01,11.83
1986-06-01,11.02
1986-07-01,11.01
1986-08-01,11.01
1986-09-01,11.01
1986-10-01,11.05
1986-11-01,12.24
1986-12-01,12.25
1987-01-01,12.25
1987-02-01,12.24
1987-03-01,12.19
1987-04-01,12.14
1987-05-01,11.42
1987-06-01,11.27
1987-07-01,11.27
1987-08-01,11.28
1987-09-01,11.28
1987-10-01,11.28
1987-11-01,11.19
1987-12-01,10.32
1988-01-01,10.25
1988-02-01,10.27
1988-03-01,10.27
1988-04-01,10.16
1988-05-01,9.78
1988-06-01,9.75
1988-07-01,10.02
1988-08-01,11.52
1988-09-01,11.78
1988-10-01,12.81
1988-11-01,12.81
1988-12-01,12.85
1989-01-01,13.23
1989-02-01,13.56
1989-03-01,13.56
1989-04-01,13.56
1989-05-01,13.58
1989-06-01,13.59
1989-07-01,13.60
1989-08-01,13.60
1989-09-01,13.60
1989-10-01,13.93
1989-11-01,14.60
1989-12-01,14.54
1990-01-01,14.60
1990-02-01,14.69
1990-03-01,15.40
1990-04-01,15.41
1990-05-01,15.45
1990-06-01,15.45
1990-07-01,15.45
1990-08-01,15.45
1990-09-01,15.45
1990-10-01,15.45
1990-11-01,14.70
1990-12-01,14.59
1991-01-01,14.60
1991-02-01,14.60
1991-03-01,14.27
1991-04-01,13.54
1991-05-01,12.88
1991-06-01,12.80
1991-07-01,12.33
1991-08-01,12.00
1991-09-01,11.85
1991-10-01,11.57
1991-11-01,11.53
1991-12-01,11.52
1992-01-01,11.45
1992-02-01,11.39
1992-03-01,11.03
1992-04-01,10.98
1992-05-01,10.85
1992-06-01,10.81
1992-07-01,10.72
1992-08-01,10.72
1992-09-01,10.54
1992-10-01,10.28
1992-11-01,9.72
1992-12-01,8.84
1993-01-01,8.47
1993-02-01,8.36
1993-03-01,8.01
1993-04-01,8.01
1993-05-01,8.00
1993-06-01,8.00
1993-07-01,8.00
1993-08-01,8.00
1993-09-01,8.00
1993-10-01,8.00
1993-11-01,7.97
1993-12-01,7.90
1994-01-01,7.70
1994-02-01,7.69
1994-03-01,7.69
1994-04-01,7.69
1994-05-01,7.69
1994-06-01,7.69
1994-07-01,7.69
1994-08-01,7.69
1994-09-01,7.76
1994-10-01,8.11
1994-11-01,8.11
1994-12-01,8.12
1995-01-01,8.21
1995-02-01,8.33
1995-03-01,8.36
1995-04-01,8.36
1995-05-01,8.36
1995-06-01,8.35
1995-07-01,8.36
1995-08-01,8.36
1995-09-01,8.36
1995-10-01,8.00
1995-11-01,7.96
1995-12-01,7.95
1996-01-01,7.72
1996-02-01,7.50
1996-03-01,7.46
1996-04-01,7.30
1996-05-01,7.17
1996-06-01,7.15
1996-07-01,7.15
1996-08-01,6.99
1996-09-01,6.93
1996-10-01,6.92
1996-11-01,6.92
1996-12-01,7.01
1997-01-01,7.00
1997-02-01,7.00
1997-03-01,7.00
1997-04-01,7.00
1997-05-01,7.00
1997-06-01,7.25
1997-07-01,7.50
1997-08-01,7.75
1997-09-01,8.00
1997-10-01,8.00
1997-11-01,8.00
1997-12-01,8.25
1998-01-01,8.25
1998-02-01,8.25
1998-03-01,8.25
1998-04-01,8.25
1998-05-01,8.25
1998-06-01,8.25
1998-07-01,8.50
1998-08-01,8.50
1998-09-01,8.50
1998-10-01,8.50
1998-11-01,8.25
1998-12-01,7.75
1999-01-01,7.25
1999-02-01,7.00
1999-03-01,6.50
1999-04-01,6.50
1999-05-01,6.25
1999-06-01,6.00
1999-07-01,6.00
1999-08-01,6.12
1999-09-01,5.99
1999-10-01,6.22
1999-11-01,6.23
1999-12-01,6.54
2000-01-01,6.53
2000-02-01,6.76
2000-03-01,6.99
2000-04-01,6.99
2000-05-01,7.00
2000-06-01,7.11
2000-07-01,7.05
2000-08-01,7.05
2000-09-01,7.04
2000-10-01,6.94
2000-11-01,6.96
2000-12-01,6.99
2001-01-01,7.01
2001-02-01,6.72
2001-03-01,6.71
2001-04-01,6.47
2001-05-01,6.23
2001-06-01,6.21
2001-07-01,6.22
2001-08-01,5.97
2001-09-01,5.74
2001-10-01,5.50
2001-11-01,5.01
2001-12-01,5.00
2002-01-01,4.98
2002-02-01,5.00
2002-03-01,5.03
2002-04-01,5.04
2002-05-01,5.05
2002-06-01,5.03
2002-07-01,5.03
2002-08-01,5.03
2002-09-01,5.08
2002-10-01,5.11
2002-11-01,5.11
2002-12-01,5.12
2003-01-01,5.12
2003-02-01,4.91
2003-03-01,4.92
2003-04-01,4.93
2003-05-01,4.91
2003-06-01,4.92
2003-07-01,4.70
2003-08-01,4.68
2003-09-01,4.69
2003-10-01,4.67
2003-11-01,4.84
2003-12-01,4.91
2004-01-01,4.88
2004-02-01,5.09
2004-03-01,5.02
2004-04-01,5.02
2004-05-01,5.20
2004-06-01,5.52
2004-07-01,5.54
2004-08-01,5.37
2004-09-01,5.43
2004-10-01,5.42
2004-11-01,5.43
2004-12-01,5.43
2005-01-01,5.39
2005-02-01,5.37
2005-03-01,5.38
2005-04-01,5.38
2005-05-01,5.36
2005-06-01,5.37
2005-07-01,5.36
2005-08-01,5.19
2005-09-01,5.18
2005-10-01,5.20
2005-11-01,5.18
2005-12-01,5.29
2006-01-01,5.23
2006-02-01,5.25
2006-03-01,5.21
2006-04-01,5.23
2006-05-01,5.25
2006-06-01,5.15
2006-07-01,5.16
2006-08-01,5.33
2006-09-01,5.42
2006-10-01,5.40
2006-11-01,5.56
2006-12-01,5.63
2007-01-01,5.73
2007-02-01,5.86
2007-03-01,5.88
2007-04-01,5.92
2007-05-01,6.03
2007-06-01,6.09
2007-07-01,6.22
2007-08-01,6.32
2007-09-01,6.24
2007-10-01,6.31
2007-11-01,6.39
2007-12-01,6.20
2008-01-01,6.24
2008-02-01,5.98
2008-03-01,6.05
2008-04-01,6.00
2008-05-01,6.17
2008-06-01,6.31
2008-07-01,6.26
2008-08-01,6.20
2008-09-01,6.12
2008-10-01,7.04
2008-11-01,5.78
2008-12-01,4.92
2009-01-01,4.51
2009-02-01,4.31
2009-03-01,4.00
2009-04-01,3.83
2009-05-01,3.97
2009-06-01,3.77
2009-07-01,3.81
2009-08-01,3.85
2009-09-01,3.90
2009-10-01,3.86
2009-11-01,3.89
2009-12-01,3.92
2010-01-01,3.60
2010-02-01,3.70
2010-03-01,3.76
2010-04-01,3.79
2010-05-01,3.71
2010-06-01,3.72
2010-07-01,3.72
2010-08-01,3.57
2010-09-01,3.56
2010-10-01,3.49
2010-11-01,3.50
2010-12-01,3.51
2011-01-01,3.50
2011-02-01,3.53
2011-03-01,3.47
2011-04-01,3.44
2011-05-01,3.37
2011-06-01,3.13
2011-07-01,3.08
2011-08-01,3.08
2011-09-01,3.24
2011-10-01,3.27
2011-11-01,3.30
2011-12-01,3.38
2012-01-01,3.57
2012-02-01,3.50
2012-03-01,3.57
2012-04-01,3.60
2012-05-01,3.60
2012-06-01,3.65
2012-07-01,3.62
2012-08-01,3.64
2012-09-01,3.59
2012-10-01,3.64
2012-11-01,3.66
2012-12-01,3.66
2013-01-01,3.57
2013-02-01,3.59
2013-03-01,3.56
2013-04-01,3.55
2013-05-01,3.55
2013-06-01,3.56
2013-07-01,3.28
2013-08-01,3.26
2013-09-01,3.19
2013-10-01,3.14
2013-11-01,3.03
2013-12-01,2.92
2014-01-01,2.96
2014-02-01,2.83
2014-03-01,2.81
2014-04-01,2.80
2014-05-01,2.84
2014-06-01,2.76
2014-07-01,2.91
2014-08-01,2.88
2014-09-01,2.94
2014-10-01,2.94
2014-11-01,2.97
2014-12-01,2.89
2015-01-01,2.88
2015-02-01,2.51
2015-03-01,2.52
2015-04-01,2.60
2015-05-01,2.57
2015-06-01,2.59
2015-07-01,2.58
2015-08-01,2.62
2015-09-01,2.56
2015-10-01,2.55
2015-11-01,2.59
2015-12-01,2.60
2016-01-01,2.43
2016-02-01,2.44
2016-03-01,2.30
2016-04-01,2.34
2016-05-01,2.43
2016-06-01,2.43
2016-07-01,2.43
2016-08-01,2.18
2016-09-01,2.20
2016-10-01,2.20
2016-11-01,2.29
2016-12-01,2.29
2017-01-01,2.30
